"source_paper","app_awareness","venue_raw","venue_source","raw_reference","suspected_fp"
"Asymptotically Quasi-Optimal Cryptography.","1","","none","[Gol04] Goldreich, O.: Foundations of Cryptography, vol.","True"
"On the Multi-user Security of Short Schnorr Signatures with Preprocessing.","2","","none","[fSC18] International Organization for Standardization and International Elec-trotechnical Commission. It security techniques - digital signatures with","True"
"Private Communication Against a Dictator.","4","","none","[DL] Diﬃe, W., Landau, S.: Privacy on the Line. The Politics of Wiretapping and Encryption","True"
"Private Communication Against a Dictator.","4","","none","[Ker83] Kerckhoﬀs, A.: La Cryptographie Militaire. Journal des sciences militaires (1883) Anamorphic Encryption: Private Communication Against a Dictator 63","True"
"Bulletproofs++: Next Generation Confidential Transactions via Reciprocal Set Membership Arguments.","3","","none","3. Let R be a relation and RDLR = {G ∈Gn; ; a ∈Fn : ⟨a, G⟩= 0G, a ̸= 0} be the relation that encodes solutions of the DLR problem (Definition 1). An interactive protocol (K, P, V) that has WEE for the relation R′ = R ∪RDLR, where G = K(1λ), has CWEE for the relation R assuming expected-PPT hardness of the discrete logarithm relation (DLR) problem. Proof. Let P∗be a DPT prover for R′ and E the corresponding witness-extended emulator. We define E′ as being equal to E but failing when E extracts a witness for RDLR. E′ is a computational witness extended emulator for R if E′ fails with negligible probability. If E′ would fail with non-negligible probability, then there exists a pair of non-uniform polynomial-time adversaries (A1, A2) such that E outputs a solution to the DLR problem with non-negligible probability. This contradicts the assumed expected-PPT hardness of the DLR problem. Definition","True"
"Bulletproofs++: Next Generation Confidential Transactions via Reciprocal Set Membership Arguments.","3","","none","9. The Cauchy matrix for two vectors x and y of the same length is the matrix Ci,j = 1/(xi −yj). It is invertible when all the xi and yj are unique. Lemma","True"
"Bulletproofs++: Next Generation Confidential Transactions via Reciprocal Set Membership Arguments.","3","","none","4. Given n linearly independent polynomials fi(X) of degree d < m and m ≥n pairwise distinct αj ∈F the matrix Mi,j = fi(αj) has rank n. Proof. By way of contradiction, suppose n × m matrix M was not rank n. Since M has n rows, if M has rank less than n, there must exist some non-zero c ∈Fn such that M ⊤c =","True"
"Bulletproofs++: Next Generation Confidential Transactions via Reciprocal Set Membership Arguments.","3","","none","0. Since the polynomials fi(X) are linearly independent in F[X], for every c the polynomial P i cifi(X) = g(X) is non-zero and has degree at most d. It holds that M ⊤c = (g(α0), . . . , g(αm−1)). If M ⊤c = 0, it must be the case that g(αi) = 0 for m values of αi. Since m > d this means g is zero on more points than its degree and therefore must be identically zero. This contradicts the assumption of linear independence, therefore M must be rank n. Lemma 5 (Round Extractor). For any k group elements G ∈Gk and n linearly independent polynomials fi(X) ∈F[X] of degree d < m over F[X], there exists an efficient extractor χ such that for n commitments Ci and m ≥n transcripts (αj ∈F, wj ∈Fk) with distinct αj such that ⟨wj, G⟩= Pn−1 i=0 fi(αj)Ci, χ either outputs s such that ⟨s, G⟩= O or a collection of xi such that Ci = ⟨xi, G⟩and P i fi(X)xi = 0 in F[X]. 34 Proof. Let Mi,j = fi(αj). By Lemma 4 this matrix has rank n. Let the matrix W ∈Fm×k have as its rows the vectors wj and note WG = MC. If the vectors xi exist, then there exists some matrix X with rows equal to xi such that C = XG and W = MX. Since m > d, and each Pn−1 i=0 fi(X)xi,j is of degree d but zero on the m values αj, if W = MX then P i fi(X)xi = 0. If W = MX, it must be the case that every column of W lies in the image of M. This is not necessarily the case and when it is not the extractor will be able to find a discrete log relation. Let M + be the Moore-Penrose pseudo inverse, which since M is of full rank is a left inverse for M. By the properties of the pseudo inverse, we have MM +WG = MM +MC = MC = WG. (94) Let W ′ = MM +W. If W ′ = W then X = M +W such that MX = W. In this case, the extractor will return the rows of X as xi. If W ′ ̸= W, then we have (W ′ −W)G = O and every non-zero row of W ′ −W is a discrete log relation. Since W ′ −W ̸= 0, there exists a first non-zero row s and the extractor will return s. C.1 Norm Linear Argument C.1.1 Proof of Theorem 1 Proof. Completeness follows from running the protocol and checking that all the algebraic equations are satisfied. CWEE follows by essentially the same argument as the original inner product argument: Given a tree of transcripts, the norm linear argument extractor χnl will apply a round extractor χ as in Lemma 5 sequentially log2 n times. Each invocation of the round extractor will use 4 transcripts and extract a witness for the previous round of the norm linear argument or relation RDLR as defined in Lemma","True"
"Bulletproofs++: Next Generation Confidential Transactions via Reciprocal Set Membership Arguments.","3","","none","3. So the entire extractor will find a witness for relation R’, the union of RDLR and the norm linear relation, from four accepting transcripts and use 4⌈log2 n⌉= O(n2) total transcripts, where n is the longer of the lengths of l and n. Since χnl runs in polynomial time, the protocol has k-SS for R′ and, further, since the number of transcripts is polynomial in the security parameter, the protocol has CWEE for the norm linear relation under the expected-PPT hardness of the DLR problem by Lemma 2 and Lemma","True"
"Bulletproofs++: Next Generation Confidential Transactions via Reciprocal Set Membership Arguments.","3","","none","3. Within an invocation of the round extractor, fix µ and c, commitments (C, X, R), and basis points (G, G, H) and let γi be the challenge from each transcript. In each transcript the extractor has (vi, li, ni) such that C′ i = C + γiX + (γ2 i −1)R = viG + ⟨li, [H]0 + γi[H]1⟩+ ⟨ni, [G]0 + γi[G]1⟩ = viG + ⟨l′ i, H⟩+ ⟨n′ i, G⟩. (95) Note that the l′ i and n′ i are multiplied by the same generators in each transcript, and that they satisfy γi[l′ i]0 −[l′ i]1 = 0 and likewise for n′ i. The extractor can also compute ci = [c]0 + γi[c]1. Per Definition 7, the challenges are pairwise distinct and therefore, the extractor can apply χ from Lemma","True"
