label,key,iri,type
Digital Signal Processing and Signal Processing Education Workshop (SP/SPE),streams/conf/dsp-spe,https://dblp.org/streams/conf/dsp-spe,https://dblp.org/rdf/schema#Conference
"Deep Structure, Singularities, and Computer Vision (DSSCV)",streams/conf/dsscv,https://dblp.org/streams/conf/dsscv,https://dblp.org/rdf/schema#Conference
"International Conference on Communications, Computing, Cybersecurity, and Informatics (CCCI)",streams/conf/ccci,https://dblp.org/streams/conf/ccci,https://dblp.org/rdf/schema#Conference
"International Conference on Computing, Communications and Control Technologies (CCCT)",streams/conf/ccct,https://dblp.org/streams/conf/ccct,https://dblp.org/rdf/schema#Conference
IEEE/ACM International Symposium on Distributed Simulation and Real-Time Applications (DS-RT),streams/conf/dsrt,https://dblp.org/streams/conf/dsrt,https://dblp.org/rdf/schema#Conference
Chinese Conference on Computer Vision (CCCV),streams/conf/cccv,https://dblp.org/streams/conf/cccv,https://dblp.org/rdf/schema#Conference
Workshop on Content Caching and Delivery in Wireless Networks (CCDWN),streams/conf/ccdwn,https://dblp.org/streams/conf/ccdwn,https://dblp.org/rdf/schema#Conference
Japanese Discovery Science Project,streams/conf/dsp,https://dblp.org/streams/conf/dsp,https://dblp.org/rdf/schema#Conference
Coordination of Collaborative Engineering (CCE),streams/conf/cce,https://dblp.org/streams/conf/cce,https://dblp.org/rdf/schema#Conference
Complex Computational Ecosystems (CCE),streams/conf/cce2,https://dblp.org/streams/conf/cce2,https://dblp.org/rdf/schema#Conference
Canadian Conference on Computational Geometry (CCCG),streams/conf/cccg,https://dblp.org/streams/conf/cccg,https://dblp.org/rdf/schema#Conference
International Conference on Control Engineering and Artificial Intelligence (CCEAI),streams/conf/cceai,https://dblp.org/streams/conf/cceai,https://dblp.org/rdf/schema#Conference
Canadian Conference on Electrical and Computer Engineering (CCECE),streams/conf/ccece,https://dblp.org/streams/conf/ccece,https://dblp.org/rdf/schema#Conference
IFIP/IEEE International Workshop on Distributed Systems: Operations and Management (DSOM),streams/conf/dsom,https://dblp.org/streams/conf/dsom,https://dblp.org/rdf/schema#Conference
"International Symposium on Communicability, Computer Graphics and Innovative Design for Interactive Systems (CCGIDIS)",streams/conf/ccgidis,https://dblp.org/streams/conf/ccgidis,https://dblp.org/rdf/schema#Conference
"IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing (CCGRID)",streams/conf/ccgrid,https://dblp.org/streams/conf/ccgrid,https://dblp.org/rdf/schema#Conference
Dependable Systems and Networks (DSN),streams/conf/dsn,https://dblp.org/streams/conf/dsn,https://dblp.org/rdf/schema#Conference
International Symposium of Chinese CHI (CCHI),streams/conf/cchi,https://dblp.org/streams/conf/cchi,https://dblp.org/rdf/schema#Conference
International Conference of the Catalan Association for Artificial Intelligence (CCIA),streams/conf/ccia,https://dblp.org/streams/conf/ccia,https://dblp.org/rdf/schema#Conference
International Scientific Conference on Dynamical System Modeling and Stability Investigation (DSMSI),streams/conf/dsmsi,https://dblp.org/streams/conf/dsmsi,https://dblp.org/rdf/schema#Conference
Component-Based Software Quality,streams/conf/cbsq,https://dblp.org/streams/conf/cbsq,https://dblp.org/rdf/schema#Conference
International Conference on Business Intelligence (CBI),streams/conf/cbi,https://dblp.org/streams/conf/cbi,https://dblp.org/rdf/schema#Conference
International Conference on Content-Based Multimedia Indexing (CBMI),streams/conf/cbmi,https://dblp.org/streams/conf/cbmi,https://dblp.org/rdf/schema#Conference
IEEE International Conference on Design & Technology of Integrated Systems in Nanoscale Era (DTIS),streams/conf/dtis,https://dblp.org/streams/conf/dtis,https://dblp.org/rdf/schema#Conference
IEEE Symposium on Computer-Based Medical Systems (CBMS),streams/conf/cbms,https://dblp.org/streams/conf/cbms,https://dblp.org/rdf/schema#Conference
IEEE International Conference on Cyborg and Bionic Systems (CBS),streams/conf/cbs,https://dblp.org/streams/conf/cbs,https://dblp.org/rdf/schema#Conference
"International Conference on Digital Technologies in Education, Science and Industry (DTESI)",streams/conf/dtesi,https://dblp.org/streams/conf/dtesi,https://dblp.org/rdf/schema#Conference
International Symposium on Component-Based Software Engineering (CBSE),streams/conf/cbse,https://dblp.org/streams/conf/cbse,https://dblp.org/rdf/schema#Conference
Brazilian Conference on Software: Practice and Theory (CBSoft),streams/conf/cbsoft,https://dblp.org/streams/conf/cbsoft,https://dblp.org/rdf/schema#Conference
Data Science Workshop (DSW),streams/conf/dsw,https://dblp.org/streams/conf/dsw,https://dblp.org/rdf/schema#Conference
International Conference on Cloud Computing and Internet of Things (CCIOT),streams/conf/cciot,https://dblp.org/streams/conf/cciot,https://dblp.org/rdf/schema#Conference
International Conference on Compiler Construction (CC),streams/conf/cc,https://dblp.org/streams/conf/cc,https://dblp.org/rdf/schema#Conference
"International Workshop on Design, Specification, and Verification of Interactive Systems (DSV-IS)",streams/conf/dsvis,https://dblp.org/streams/conf/dsvis,https://dblp.org/rdf/schema#Conference
International Conference on Computability and Complexity in Analysis (CCA),streams/conf/cca,https://dblp.org/streams/conf/cca,https://dblp.org/rdf/schema#Conference
International Conference on Cloud Computing and Big Data (CCBD),streams/conf/ccbd,https://dblp.org/streams/conf/ccbd,https://dblp.org/rdf/schema#Conference
Workshop on Data Science Techniques for Datasets on Mental and Neurodegenerative Disorders (DSTNDS),streams/conf/dstnds,https://dblp.org/streams/conf/dstnds,https://dblp.org/rdf/schema#Conference
Chinese Conference on Biometric Recognition (CCBR),streams/conf/ccbr,https://dblp.org/streams/conf/ccbr,https://dblp.org/rdf/schema#Conference
International Workshop Algorithms and Parallel VLSI Architectures,streams/conf/ccc,https://dblp.org/streams/conf/ccc,https://dblp.org/rdf/schema#Conference
Software Technologies and Processes (STeP),streams/conf/Dstep,https://dblp.org/streams/conf/Dstep,https://dblp.org/rdf/schema#Conference
Cybersecurity and Cyberforensics Conference (CCC),streams/conf/ccc2,https://dblp.org/streams/conf/ccc2,https://dblp.org/rdf/schema#Conference
Chinese Conference on Computer Supported Cooperative Work and Social Computing (ChineseCSCW),streams/conf/ccscw,https://dblp.org/streams/conf/ccscw,https://dblp.org/rdf/schema#Conference
International Workshop on Concurrent Constraint Programming (CCP),streams/conf/ccp2,https://dblp.org/streams/conf/ccp2,https://dblp.org/rdf/schema#Conference
Chinese Conference on Pattern Recognition (CCPR),streams/conf/ccpr,https://dblp.org/streams/conf/ccpr,https://dblp.org/rdf/schema#Conference
International Conference on Data Science and Information Technology (DSIT ),streams/conf/dsit,https://dblp.org/streams/conf/dsit,https://dblp.org/rdf/schema#Conference
"International Conference on Control, Robotics and Intelligent System (CCRIS)",streams/conf/ccris,https://dblp.org/streams/conf/ccris,https://dblp.org/rdf/schema#Conference
Annual ACM Conference on Computer and Communications Security (CCS),streams/conf/ccs,https://dblp.org/streams/conf/ccs,https://dblp.org/rdf/schema#Conference
International  Symposium on Design Studies and Intelligence Engineering (DSIE),streams/conf/dsie,https://dblp.org/streams/conf/dsie,https://dblp.org/rdf/schema#Conference
International Workshop on Cognitive Cellular Systems (CCS),streams/conf/ccs2,https://dblp.org/streams/conf/ccs2,https://dblp.org/rdf/schema#Conference
International Symposium on Community-centric Systems (CcS),streams/conf/ccs3,https://dblp.org/streams/conf/ccs3,https://dblp.org/rdf/schema#Conference
Workshop on Data Systems for Interactive Analysis (DSIA),streams/conf/dsia,https://dblp.org/streams/conf/dsia,https://dblp.org/rdf/schema#Conference
Domain-Specific Languages (DSL),streams/conf/dsl,https://dblp.org/streams/conf/dsl,https://dblp.org/rdf/schema#Conference
"International Conference on Computational Science, Engineering and Information Technology (CCSEIT)",streams/conf/ccseit,https://dblp.org/streams/conf/ccseit,https://dblp.org/rdf/schema#Conference
Cooperative Environments for Distributed Systems Engineering,streams/conf/dser,https://dblp.org/streams/conf/dser,https://dblp.org/rdf/schema#Conference
Cloud Computing Security Workshop (CCSW),streams/conf/ccsw-ws,https://dblp.org/streams/conf/ccsw-ws,https://dblp.org/rdf/schema#Conference
Conference on Control Technology and Applications (CCTA),streams/conf/ccta,https://dblp.org/streams/conf/ccta,https://dblp.org/rdf/schema#Conference
Desarrollo de Software Dirigido por Modelos (DSDM),streams/conf/dsdm,https://dblp.org/streams/conf/dsdm,https://dblp.org/rdf/schema#Conference
Symposium on Contemporary Computing in Ukraine (CCU),streams/conf/ccu,https://dblp.org/streams/conf/ccu,https://dblp.org/rdf/schema#Conference
Computing and Communication Workshop and Conference (CCWC),streams/conf/ccwc,https://dblp.org/streams/conf/ccwc,https://dblp.org/rdf/schema#Conference
IEEE International Conference on Data Science and Data Intensive Systems (DSDIS),streams/conf/dsdis,https://dblp.org/streams/conf/dsdis,https://dblp.org/rdf/schema#Conference
