"source_paper","app_awareness","venue_raw","venue_source","raw_reference","suspected_fp"
"Bicoptor: Two-round Secure Three-party Non-linear Computation without Preprocessing for Privacy-preserving Machine Learning.","2","","none","[9] A. Patra, T. Schneider, A. Suresh, and H. Yalame, “ABY2.0: Im-proved Mixed-Protocol secure Two-Party computation,” in USENIX Security 21,","True"
"Bicoptor: Two-round Secure Three-party Non-linear Computation without Preprocessing for Privacy-preserving Machine Learning.","2","","none","[25] DReLU and ReLU protocols. (Lat.: latency. ALat.: amortized latency. Thru.: throughput rate. q = 264, ℓx = 13.) Batch Protocol DReLU ReLU Size Lat.(µs) ALat.(µs) Thru.(ops/s) Lat.(us) ALat.(us) Thru.(ops/s) 1 Bicoptor 330.2 330.2 3028.6 340.0 340.0 2941.1 Falcon","True"
"Bicoptor: Two-round Secure Three-party Non-linear Computation without Preprocessing for Privacy-preserving Machine Learning.","2","","none","[12] 1005.8 1005.8 994.3 1184.4 1184.4 844.3 Edabits","True"
"Bicoptor: Two-round Secure Three-party Non-linear Computation without Preprocessing for Privacy-preserving Machine Learning.","2","","none","[25] 22104.7 22104.7 45.2 24137.9 24137.9 41.4 102 Bicoptor 703.0 7.0 142243.3 705.4 7.1 141760.4 Falcon","True"
"Bicoptor: Two-round Secure Three-party Non-linear Computation without Preprocessing for Privacy-preserving Machine Learning.","2","","none","[12] 1220.0 12.2 81969.5 1374.6 13.7 72748.4 Edabits","True"
"Bicoptor: Two-round Secure Three-party Non-linear Computation without Preprocessing for Privacy-preserving Machine Learning.","2","","none","[25] 179186.0 1791.9 558.1 180822.0 1808.2 553.0 103 Bicoptor 3078.1 3.1 324872.2 3428.9 3.4 291635.4 Falcon","True"
"Bicoptor: Two-round Secure Three-party Non-linear Computation without Preprocessing for Privacy-preserving Machine Learning.","2","","none","[12] 3515.7 3.5 284435.7 4118.5 4.1 242806.8 Edabits","True"
"Bicoptor: Two-round Secure Three-party Non-linear Computation without Preprocessing for Privacy-preserving Machine Learning.","2","","none","[12] 22266.5 2.2 449105.2 33749.6 3.4 296299.8 Edabits","True"
"Bicoptor: Two-round Secure Three-party Non-linear Computation without Preprocessing for Privacy-preserving Machine Learning.","2","","none","[25] 744525.3 74.5 13431.4 795877.7 79.6 12564.7 105 Bicoptor 253397.3 2.5 394637.1 267570.0 2.7 373734.0 Falcon","True"
"Bicoptor: Two-round Secure Three-party Non-linear Computation without Preprocessing for Privacy-preserving Machine Learning.","2","","none","[12] 322137.0 3.2 310426.9 333221.0 3.3 300101.1 Edabits","True"
"Bicoptor: Two-round Secure Three-party Non-linear Computation without Preprocessing for Privacy-preserving Machine Learning.","2","","none","[25] 2368510.0 23.7 42220.6 2563846.7 25.6 39003.9 TABLE 9: The performance of binary-tree and 2-round Bicoptor MAX4/MAX9, and Falcon","True"
